42199-0,340130073001005
4390-0,280070605003011
32353-0,291892214231014
1084-0,171130001042041
3011-0,470650104334006
21045-0,060070007003012
40684-0,360050375043004
40181-0,480270217001012
23838-0,240450107026139
32901-0,510010901002025
45240-0,060377009011005
51423-0,490490101083002
16767-0,"16767-0 808 S Main St,  Monona,  IA,  52159Tie"
7287-0,191690010002013
16514-0,110010101002004
17250-0,517600610002076
43764-0,370570619022062
18785-0,401039570002017
33409-0,180632103001044
2111-0,060372149021006
18114-0,131390011021000
23958-0,171978833062080
46416-0,180559554002016
33864-0,371590519012008
65649-0,500279665002031
11719-0,180190504032012
29107-0,290770040011032
16634-0,540550022003020
4439-0,"4439-0 1122 S Timberland Dr,  Lufkin,  TX,  75901Tie"
24441-0,391419559004029
35770-0,420270116002004
6943-0,311199609003020
31214-0,300810004023016
18808-0,550390403001038
37615-0,371090702012003
6418-0,530350807002009
54052-0,350390003003140
60895-0,130890216051000
34119-0,360470402002002
69499-0,490190002004011
29022-0,481130042013002
18652-0,481130173031012
29227-0,060050003041002
57189-0,010730113022074
47422-0,370810125091071
43644-0,011010055033110
38850-0,"38850-0 405 S Main St,  Continental,  OH,  45831Tie"
55541-0,"55541-0 161 N. Bridge Street,  Chillicothe,  OH,  45601Tie"
52791-0,340258008004005
30250-0,040250010013000
3157-0,320310010121024
47555-0,250277444003012
7154-0,060750612001001
2507-0,510579507002081
36395-0,511870202003155
11398-0,450679501002038
11920-0,515150501002001
35173-0,421019803001041
68763-0,131570103001051
42484-0,371830531091028
4711-0,391010010002006
17072-0,271090001001014
13000-0,245100203002012
63359-0,220190019042000
38815-0,"38815-0 1334 Cape St Claire Rd,  Annapolis,  MD,  21409Tie"
22199-0,361170201022014
35040-0,420691012002040
2987-0,310550012003025
54123-0,130670302301002
14535-0,211319201003024
54496-0,360710139003062
50511-0,"50511-0 1708 SE Walton Blvd.,  Bentonville,  AR,  72712Tie"
37557-0,390490083502024
6729-0,482419503002000
868-0,"868-0 101 N Victory Blvd,  Burbank,  CA,  91502-1847Tie"
23873-0,360610015021001
25785-0,340010114042036
20311-0,550790909002002
2854-0,482014323004029
37544-0,040190043211000
28508-0,481410011141001
47315-0,470279550004063
44352-0,340350535011053
37041-0,250214223024020
17779-0,"17779-0 817 S 4th St,  Fulton,  NY,  13069Tie"
62207-0,060374067011000
36586-0,360650245003051
11025-0,420391111003013
26660-0,010539703001030
1561-0,060070005022000
6453-0,"6453-0 140 State Rt 104,  Oswego,  NY,  13126-2906Tie"
29097-0,330110028002018
48687-0,270531044002000
41345-0,482015102001014
29418-0,420333303003055
31681-0,470650029001000
47198-0,470650102011009
30740-0,360290141022025
45338-0,220170239032039
16932-0,371470010031017
22186-0,340030292004003
2209-0,060730192063004
5434-0,"5434-0 700 N Lake Park Blvd,  Carolina Beach,  NC,  28428Tie"
41870-0,550250011021004
61937-0,410670307001020
54230-0,420099603002101
44628-0,340130198002011
40742-0,040179617003027
11670-0,450450030052016
25007-0,"25007-0 5533 NW 1st Street,  Lincoln,  NE,  68521Tie"
13146-0,190570004003004
47600-0,340230019031012
18367-0,250277304012015
7777-0,420770015011000
12162-0,130019503001003
1587-0,130670304112009
4043-0,482013119001038
50096-0,371470014012005
5985-0,480850316552037
22329-0,080140306003013
29395-0,440070029004037
39941-0,090053107003041
23588-0,390610215062017
43466-0,480291609011011
57711-0,"57711-0 100 N. Main Street,  Manville,  NJ,  08835Tie"
13827-0,110010102001010
10139-0,171118712062016
54350-0,530350923002019
20061-0,131171303071000
28245-0,"28245-0 712 E. Broadway,  Alton,  IL,  62002Tie"
16397-0,450630209042032
41332-0,060855031212006
39549-0,330151002001000
11946-0,280470020002055
32438-0,040190025062004
42867-0,391517128002011
3202-0,060590877013006
30753-0,180030038002000
56849-0,470799690001105
10544-0,191751902004156
3993-0,"3993-0 409 E Emmitt Ave,  Waverly,  OH,  45690Tie"
59286-0,130890220092003
12830-0,120632104003000
32162-0,261112901003016
34955-0,260450210011015
21330-0,180030013002036
12282-0,484530008011000
42186-0,201730103004046
2734-0,120111103191020
6849-0,130119704001101
4056-0,490532709011030
52240-0,171130011051008
27536-0,360610160021001
45336-0,360930326011018
20983-0,480850305061004
